[Header]
Data File Name	D:\2019 KYB\Youngnam CHJ\Data-041.qgd
Output Date	9/6/2019
Output Time	10:54:20 AM

[File Information]
Type	Data File
Generated	4/12/2019 12:27:12 PM
Generated by	Admin
Modified	9/6/2019 10:13:48 AM
Modified by	Admin

[Sample Information]
Operator Name	Admin
Analyzed	4/12/2019 12:29:18 PM
Type	Unknown
Level	4
Sample Name	STD_5ug scan
Sample ID	
ISTD Amount 1	1
ISTD Amount 2	1
ISTD Amount 3	1
ISTD Amount 4	1
ISTD Amount 5	1
ISTD Amount 6	1
ISTD Amount 7	1
ISTD Amount 8	1
ISTD Amount 9	1
ISTD Amount 10	1
ISTD Amount 11	1
ISTD Amount 12	1
ISTD Amount 13	1
ISTD Amount 14	1
ISTD Amount 15	1
ISTD Amount 16	1
ISTD Amount 17	1
ISTD Amount 18	1
ISTD Amount 19	1
ISTD Amount 20	1
ISTD Amount 21	1
ISTD Amount 22	1
ISTD Amount 23	1
ISTD Amount 24	1
ISTD Amount 25	1
ISTD Amount 26	1
ISTD Amount 27	1
ISTD Amount 28	1
ISTD Amount 29	1
ISTD Amount 30	1
ISTD Amount 31	1
ISTD Amount 32	1
Sample Amount	1
Dilution Factor	1
Vial#	15
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	D:\2019 KYB\Youngnam CHJ\Data-041.qgd
Method File	D:\2019 KYB\Youngnam CHJ\OA_SCAN nontarget.qgm
Batch File	
Report Format File	REPORT.qgr
Tuning File	C:\GCMSsolution\System\Tune1\20190330.qgt

[File Description]


[MC Peak Table]
# of Peaks	815
Mass	TIC
Peak#	Ret.Time	Proc.From	Proc.To	Mass	Area	Height	A/H	Conc.	Mark	Name	Ret. Index
177	18.613	18.583	18.620	TIC	202636	106895	1.90	0.01	 V 		
178	18.623	18.620	18.650	TIC	164438	105237	1.56	0.01	 V 		
179	18.705	18.650	18.773	TIC	908433	189760	4.79	0.06	 V 		
180	18.801	18.773	18.823	TIC	222094	85539	2.60	0.02	 V 		
181	18.838	18.823	18.850	TIC	115425	77731	1.48	0.01	 V 		
182	18.869	18.850	18.873	TIC	107395	88918	1.21	0.01	 V 		
183	18.923	18.873	18.957	TIC	546445	144492	3.78	0.04	 V 		
184	18.979	18.957	19.027	TIC	324880	85004	3.82	0.02	 V 		
185	19.057	19.027	19.060	TIC	225844	165190	1.37	0.02	 V 		
186	19.067	19.060	19.090	TIC	276702	173481	1.59	0.02	 V 		
187	19.150	19.090	19.210	TIC	6507232	2446523	2.66	0.46	 V 		
188	19.260	19.210	19.307	TIC	1052377	287037	3.67	0.07	 V 		
189	19.336	19.307	19.343	TIC	280537	149801	1.87	0.02	 V 		
190	19.348	19.343	19.410	TIC	445841	149258	2.99	0.03	 V 		
191	19.430	19.410	19.437	TIC	151095	103714	1.46	0.01	 V 		
192	19.440	19.437	19.447	TIC	58196	99028	0.59	0.00	 V 		
193	19.466	19.447	19.493	TIC	294007	115699	2.54	0.02	 V 		
194	19.503	19.493	19.523	TIC	179245	103178	1.74	0.01	 V 		
195	19.570	19.523	19.627	TIC	864900	248227	3.48	0.06	 V 		
196	19.679	19.627	19.787	TIC	1020165	198230	5.15	0.07	 V 		
197	19.849	19.787	19.900	TIC	514659	115077	4.47	0.04	 V 		
198	19.958	19.900	20.007	TIC	2209892	833905	2.65	0.16	 V 		
199	20.013	20.007	20.020	TIC	69155	90039	0.77	0.00	 V 		
